sample_id	transcriptome	cellranger_versiom	Estimated_Number_of_Cells	Mean_Reads_per_Cell	Median_Genes_per_Cell	Number_of_Reads	Valid_Barcodes	Sequencing_Saturation	Q30_Bases_in_Barcode	Q30_Bases_in_RNA_Read	Q30_Bases_in_Sample_Index	Q30_Bases_in_UMI	Reads_Mapped_to_Genome	Reads_Mapped_Confidently_to_Genome	Reads_Mapped_Confidently_to_Intergenic_Regions	Reads_Mapped_Confidently_to_Intronic_Regions	Reads_Mapped_Confidently_to_Exonic_Regions	Reads_Mapped_Confidently_to_Transcriptome	Reads_Mapped_Antisense_to_Gene	Fraction_Reads_in_Cells	Total_Genes_Detected	Median_UMI_Counts_per_Cell
4672STDY7140020	mm10-1_2_0	3.0.2	1613	240418	1181	387795716	98.60	92.30	98.30	86.70	96.50	98.20	95.40	89.40	4.60	7.50	77.30	75.30	0.70	87.10	15740	4603
4672STDY7140020	mm10-3_0_0	3.0.2	1614	240269	1193	387795716	98.60	92.30	98.30	86.70	96.50	98.20	95.40	89.90	4.50	7.30	78.10	75.90	0.70	87.10	16261	4612
4672STDY7631188	mm10-1_2_0	3.0.2	2815	129421	816	364322234	98.30	94.60	97.60	76.40	94.40	97.90	92.00	83.80	3.70	5.10	75.10	72.70	0.90	80.60	15329	2285
4672STDY7631188	mm10-3_0_0	3.0.2	2808	129744	825	364322234	98.30	94.60	97.60	76.40	94.40	97.90	92.00	84.20	3.50	5.00	75.70	73.20	0.90	80.60	15898	2301
4672STDY7631189	mm10-1_2_0	3.0.2	3876	93183	713	361178184	98.40	91.40	97.50	74.80	92.10	97.80	90.30	84.10	3.30	7.40	73.40	71.00	0.90	87.90	16362	1815
4672STDY7631189	mm10-3_0_0	3.0.2	3899	92633	717	361178184	98.40	91.50	97.50	74.80	92.10	97.80	90.30	84.60	3.10	7.30	74.30	71.70	0.90	88.00	17048	1810
4672STDY7631190	mm10-1_2_0	3.0.2	3262	111312	757	363102881	98.30	93.90	97.50	77.00	93.20	97.90	92.00	84.10	3.60	5.60	75.00	72.50	1.00	81.00	15628	2132
4672STDY7631190	mm10-3_0_0	3.0.2	3241	112034	767	363102881	98.30	93.90	97.50	77.00	93.20	97.90	92.00	84.50	3.40	5.50	75.60	73.10	1.00	80.80	16176	2160
4672STDY7631191	mm10-1_2_0	3.0.2	2654	128386	755	340738553	97.70	94.00	97.60	75.30	93.10	97.80	88.50	80.50	4.20	5.40	70.90	68.40	1.00	71.50	15391	2103
4672STDY7631191	mm10-3_0_0	3.0.2	2680	127141	757	340738553	97.70	94.00	97.60	75.30	93.10	97.80	88.50	80.80	4.10	5.30	71.40	68.90	1.00	71.90	15929	2100
